"Name of grant recipient","Known as","Funding area/Panel","Grant category","Amount funded","Decision date","Closing date","State","Country","Federal electorate"
"Flying Fruit Fly Foundation","The Flying Fruit Fly Circus","Theatre  Section","New Work - Creative Development - up to $15,000","$15,000.00","04-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","FARRER"
"Grigor, Mish","","Theatre  Section","New Work - Creative Development - up to $15,000","$10,000.00","04-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","LINDSAY"
"K DAVIS & E VALENTE  t/as The Rabble","","Theatre  Section","New Work - Creative Development - up to $15,000","$15,000.00","04-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","GELLIBRAND"
"Macleod, Halcyon","","Theatre  Section","New Work - Creative Development - up to $15,000","$14,300.00","04-NOV-2014","04-AUG-2014","TAS","AUSTRALIA","DENISON"
"Mueller, Ross","","Theatre  Section","New Work - Creative Development - up to $15,000","$15,000.00","04-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","CORANGAMITE"
"Nicolazzo, Stephen","","Theatre  Section","New Work - Creative Development - up to $15,000","$15,000.00","04-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","BATMAN"
"Rose, Tessa","","Theatre  Section","New Work - Creative Development - up to $15,000","$14,700.00","04-NOV-2014","04-AUG-2014","NT","AUSTRALIA","SOLOMON"
"Freeman, Maree","","Theatre  Section","Skills Development-Theatre","$15,000.00","04-NOV-2014","04-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Pramesti, Rani","","Theatre  Section","Skills Development-Theatre","$15,000.00","04-NOV-2014","04-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Weber, Sarah","","Theatre  Section","Skills Development-Theatre","$15,000.00","04-NOV-2014","04-AUG-2014","WA","AUSTRALIA","PERTH"
"Art Gallery of South Australia","","Visual Arts Section","Presentation and Promotion","$40,000.00","04-NOV-2014","20-AUG-2014","SA","AUSTRALIA","ADELAIDE"
"Artlink Australia","Artlink Australia","Visual Arts Section","Presentation and Promotion","$25,000.00","04-NOV-2014","20-AUG-2014","SA","AUSTRALIA","STURT"
"Artspace Visual Arts Centre Ltd","","Visual Arts Section","Presentation and Promotion","$48,000.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Asian Australian Artists Association Inc","4A Centre for Contemporary Asian Art","Visual Arts Section","Presentation and Promotion","$8,500.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Ausglass (The Australian Association of Glass Artists) Ltd","","Visual Arts Section","Presentation and Promotion","$23,660.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Australian Centre for Contemporary Art","Australian Centre for Contemporary Art","Visual Arts Section","Presentation and Promotion","$51,900.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Campbelltown Arts Centre (t/u Campbelltown City Council)","Campbelltown Arts Centre","Visual Arts Section","Presentation and Promotion","$80,000.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","MACARTHUR"
"Chisenhale Gallery","","Visual Arts Section","Presentation and Promotion","$21,208.00","04-NOV-2014","20-AUG-2014","","UK",""
"Contemporary Art Centre of South Australia Inc","CACSA","Visual Arts Section","Presentation and Promotion","$75,585.00","04-NOV-2014","20-AUG-2014","SA","AUSTRALIA","ADELAIDE"
"Gertrude Contemporary","","Visual Arts Section","Presentation and Promotion","$20,000.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","BATMAN"
"Information and Cultural Exchange Inc (ICE)","ICE","Visual Arts Section","Presentation and Promotion","$26,250.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","PARRAMATTA"
"Kaldor Public Art Projects","","Visual Arts Section","Presentation and Promotion","$99,300.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","GRAYNDLER"
"Le Mois de la Photo a Montreal","","Visual Arts Section","Presentation and Promotion","$56,585.00","04-NOV-2014","20-AUG-2014","Québec","CANADA",""
"Lismore Regional Art Gallery","","Visual Arts Section","Presentation and Promotion","$31,800.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","PAGE"
"Monash University Museum of Art","","Visual Arts Section","Presentation and Promotion","$40,000.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Musée des Arts et Métiers","","Visual Arts Section","Presentation and Promotion","$16,800.00","04-NOV-2014","20-AUG-2014","","FRANCE",""
"Rinse Out Inc","Underbelly Arts","Visual Arts Section","Presentation and Promotion","$27,000.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Samdani Art Foundation","","Visual Arts Section","Presentation and Promotion","$20,000.00","04-NOV-2014","20-AUG-2014","","BANGLADESH",""
"TarraWarra Museum of Art","","Visual Arts Section","Presentation and Promotion","$20,850.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","CASEY"
"Tasmanian Museum and Art Gallery","Tasmanian Museum and Art Gallery","Visual Arts Section","Presentation and Promotion","$49,500.00","04-NOV-2014","20-AUG-2014","TAS","AUSTRALIA","DENISON"
"Un Projects Inc (t/a Un Magazine)","","Visual Arts Section","Presentation and Promotion","$50,000.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"University of Queensland Art Museum","","Visual Arts Section","Presentation and Promotion","$89,518.00","04-NOV-2014","20-AUG-2014","QLD","AUSTRALIA","BRISBANE"
"Hamer, Michelle","","Visual Arts Section","Skills and Arts Development General","$26,000.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Hastings, Gail","","Visual Arts Section","Skills and Arts Development General","$15,616.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Hester, Bianca","","Visual Arts Section","Skills and Arts Development General","$16,303.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","BARTON"
"Hibberd, Lily","Lily Hibberd","Visual Arts Section","Skills and Arts Development General","$13,300.00","04-NOV-2014","20-AUG-2014","VIC","AUSTRALIA","CASEY"
"NA","","Visual Arts Section","Skills and Arts Development General","$34,000.00","04-NOV-2014","20-AUG-2014","WA","AUSTRALIA","PERTH"
"O'Callaghan, Mel","","Visual Arts Section","Skills and Arts Development General","$25,000.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","WENTWORTH"
"Rapaport, Tessa","Tessa Zettel","Visual Arts Section","Skills and Arts Development General","$13,700.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","GRAYNDLER"
"Stevens, Leyla","","Visual Arts Section","Skills and Arts Development General","$12,000.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","RICHMOND"
"Wing, Jason","","Visual Arts Section","Skills and Arts Development General","$14,000.00","04-NOV-2014","20-AUG-2014","NSW","AUSTRALIA","GRAYNDLER"
"Australian Theatre of the Deaf Ltd","","Market Development Section","Festivals Aust: Regional Festivals Project Fund","$16,170.00","03-NOV-2014","29-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Denmark Arts Council Incorporated","","Market Development Section","Festivals Aust: Regional Festivals Project Fund","$28,320.00","03-NOV-2014","29-AUG-2014","WA","AUSTRALIA","O'CONNOR"
"Moogahlin Performing Arts Inc","","Market Development Section","Festivals Aust: Regional Festivals Project Fund","$77,680.00","03-NOV-2014","29-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Mount Beauty Music Muster Inc.","","Market Development Section","Festivals Aust: Regional Festivals Project Fund","$38,000.00","03-NOV-2014","29-AUG-2014","VIC","AUSTRALIA","INDI"
"Parkes Shire Council","","Market Development Section","Festivals Aust: Regional Festivals Project Fund","$8,540.00","03-NOV-2014","29-AUG-2014","NSW","AUSTRALIA","RIVERINA"
"South East Arts Region Inc (Bega)","","Market Development Section","Festivals Aust: Regional Festivals Project Fund","$10,000.00","03-NOV-2014","29-AUG-2014","NSW","AUSTRALIA","EDEN-MONARO"
"Yalata Community Incorporated","","Market Development Section","Festivals Aust: Regional Festivals Project Fund","$72,500.00","03-NOV-2014","29-AUG-2014","SA","AUSTRALIA","GREY"
"Arts House (City of Melbourne)","","Market Development Section","Sector Development Council Initiatives","$25,000.00","03-NOV-2014","30-JUN-2017","VIC","AUSTRALIA","MELBOURNE"
"Fusinato, Marco","","Visual Arts Section","Fellowships","$100,000.00","31-OCT-2014","31-JUL-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Orr, Jill","Jill Orr","Visual Arts Section","Fellowships","$100,000.00","31-OCT-2014","31-JUL-2014","VIC","AUSTRALIA","JAGAJAGA"
"Robbins, Cameron","","Visual Arts Section","Fellowships","$100,000.00","31-OCT-2014","31-JUL-2014","VIC","AUSTRALIA","MELBOURNE"
"Form: Contemporary Craft and Design Inc","FORM building a state of creativity Inc","Visual Arts Section","IVP","$10,000.00","31-OCT-2014","01-OCT-2014","WA","AUSTRALIA","CURTIN"
"Gertrude Contemporary","","Visual Arts Section","IVP","$10,000.00","31-OCT-2014","01-OCT-2014","VIC","AUSTRALIA","BATMAN"
"Kaldor Public Art Projects","","Visual Arts Section","IVP","$10,000.00","31-OCT-2014","01-OCT-2014","NSW","AUSTRALIA","GRAYNDLER"
"Monash University Museum of Art","","Visual Arts Section","IVP","$9,330.00","31-OCT-2014","01-OCT-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Sherman Contemporary Art Foundation","","Visual Arts Section","IVP","$10,000.00","31-OCT-2014","01-OCT-2014","NSW","AUSTRALIA","WENTWORTH"
"University of Melbourne through Asialink Centre","","Visual Arts Section","IVP","$9,300.00","31-OCT-2014","01-OCT-2014","VIC","AUSTRALIA","MELBOURNE"
"Stubbs, Will","","Visual Arts Section","Visual Art Awards","$10,000.00","31-OCT-2014","31-JUL-2014","NT","AUSTRALIA","LINGIARI"
"Watson, Judy","","Visual Arts Section","Visual Art Awards","$40,000.00","31-OCT-2014","31-JUL-2014","QLD","AUSTRALIA","GRIFFITH"
"Belvoir t/u Company B Limited","Belvoir","Arts Organisations Division","Interconnections Program","$40,000.00","28-OCT-2014","30-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Malthouse Theatre t/u Playbox Theatre Company Limited","Malthouse Theatre","Arts Organisations Division","Interconnections Program","$40,000.00","28-OCT-2014","30-SEP-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Opera Queensland Ltd","OperaQ","Arts Organisations Division","Interconnections Program","$39,791.00","28-OCT-2014","30-SEP-2014","QLD","AUSTRALIA","GRIFFITH"
"Circus Oz t/u Circus Australia Limited","","Arts Organisations Division","Opportunities for early-career artists commissions","$29,853.00","28-OCT-2014","29-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Kage Physical Theatre Association Inc","","Arts Organisations Division","Opportunities for early-career artists commissions","$24,540.00","28-OCT-2014","29-SEP-2014","VIC","AUSTRALIA","BATMAN"
"La Boite Theatre Ltd","La Boite / Roundhouse Theatre company","Arts Organisations Division","Opportunities for early-career artists commissions","$21,774.00","28-OCT-2014","29-SEP-2014","QLD","AUSTRALIA","BRISBANE"
"Liquid Architecture Sound Inc","","Arts Organisations Division","Opportunities for early-career artists commissions","$30,000.00","28-OCT-2014","29-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"Museum of Contemporary Art Limited","MCA","Arts Organisations Division","Opportunities for early-career artists commissions","$30,000.00","28-OCT-2014","29-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"A is for Atlas Limited","","Community Partnerships Section","Partnership Development","$5,000.00","28-OCT-2014","31-DEC-2014","VIC","AUSTRALIA","MELBOURNE"
"Alphaville Pty Ltd","","Community Partnerships Section","Partnership Development","$5,000.00","28-OCT-2014","31-DEC-2014","NSW","AUSTRALIA","GRAYNDLER"
"DADAA Ltd","","Community Partnerships Section","Partnership Development","$5,000.00","28-OCT-2014","31-DEC-2014","WA","AUSTRALIA","FREMANTLE"
"Arts House (City of Melbourne)","","Emerging and Experimental Arts","Live Art Festival","$40,000.00","28-OCT-2014","08-OCT-2014","VIC","AUSTRALIA","MELBOURNE"
"Polyglot Theatre","","Market Development Section","Going Global","$43,868.00","28-OCT-2014","05-DEC-2014","VIC","AUSTRALIA","HIGGINS"
"Caproll Pty Limited T/A Stills Gallery","","Market Development Section","Art Fare","$20,000.00","21-OCT-2014","26-SEP-2014","NSW","AUSTRALIA","WENTWORTH"
"Dianne Tanzer Gallery and Projects","","Market Development Section","Art Fare","$20,000.00","21-OCT-2014","26-SEP-2014","VIC","AUSTRALIA","MELBOURNE"
"G Company Pty Ltd t/as Greenaway Art Gallery","Greenaway Art Gallery","Market Development Section","Art Fare","$20,000.00","21-OCT-2014","26-SEP-2014","SA","AUSTRALIA","ADELAIDE"
"Sullivan & Strumpf Fine Art","","Market Development Section","Art Fare","$20,000.00","21-OCT-2014","26-SEP-2014","NSW","AUSTRALIA","SYDNEY"
"Nolan, Patrick","Plastic Pictures Discretionary Trust","Theatre  Section","Fellowships","$100,000.00","20-OCT-2014","31-JUL-2014","NSW","AUSTRALIA","GRAYNDLER"
"Saulwick, Tamara","","Theatre  Section","Fellowships","$100,000.00","20-OCT-2014","31-JUL-2014","VIC","AUSTRALIA","GELLIBRAND"
"Campbelltown Arts Centre (t/u Campbelltown City Council)","Campbelltown Arts Centre","Dance  Section","Artform Development","$60,000.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","MACARTHUR"
"Critical Path Inc","","Dance  Section","Artform Development","$90,000.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","WENTWORTH"
"Next Wave Festival Inc","","Dance  Section","Artform Development","$50,000.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"STRUT Dance Incorporated","Strut Dance","Dance  Section","Artform Development","$100,000.00","15-OCT-2014","15-AUG-2014","WA","AUSTRALIA","PERTH"
"Batchelor, James","","Dance  Section","Creative Australia","$20,000.00","15-OCT-2014","15-AUG-2014","ACT","AUSTRALIA","FENNER"
"Brown, Deborah","","Dance  Section","Creative Australia","$50,000.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Wilson, Lee","","Dance  Section","Creative Australia","$13,000.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","BARTON"
"Tsuchiya-Umiumare, Yumi","","Dance  Section","Fellowships","$100,000.00","15-OCT-2014","31-JUL-2014","VIC","AUSTRALIA","BATMAN"
"Campbell (Shelton), Leisa","","Dance  Section","Project Grants - Creative Development","$22,000.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Currie, Alison","","Dance  Section","Project Grants - Creative Development","$15,000.00","15-OCT-2014","15-AUG-2014","SA","AUSTRALIA","HINDMARSH"
"Cursio, Natalie","","Dance  Section","Project Grants - Creative Development","$6,490.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Dyer, Ashley","","Dance  Section","Project Grants - Creative Development","$34,300.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Law, Shian","","Dance  Section","Project Grants - Creative Development","$9,600.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","BATMAN"
"Martin, Bianca","","Dance  Section","Project Grants - Creative Development","$20,845.00","15-OCT-2014","15-AUG-2014","WA","AUSTRALIA","CURTIN"
"Nankivell, Gabrielle","","Dance  Section","Project Grants - Creative Development","$18,720.00","15-OCT-2014","15-AUG-2014","SA","AUSTRALIA","MAYO"
"Parker, Sandra","","Dance  Section","Project Grants - Creative Development","$22,000.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Perry, Byron","","Dance  Section","Project Grants - Creative Development","$8,796.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","BALLARAT"
"Serle, Lee","","Dance  Section","Project Grants - Creative Development","$15,000.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","KINGSFORD SMITH"
"Taumoepeau, Latai","","Dance  Section","Project Grants - Creative Development","$11,940.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","GRAYNDLER"
"Vassallo, Sarah-Vyne","Murmuration Arts and Entertainment","Dance  Section","Project Grants - Creative Development","$25,000.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","MITCHELL"
"Abbott, Natalie","","Dance  Section","Project Grants - Presentation","$44,925.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","WILLS"
"Chiu, Victoria","","Dance  Section","Project Grants - Presentation","$27,687.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","BATMAN"
"del Amo, Martin","","Dance  Section","Project Grants - Presentation","$35,400.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","SYDNEY"
"Eke, Atlanta","","Dance  Section","Project Grants - Presentation","$20,703.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","CORANGAMITE"
"Hamilton, Antony","","Dance  Section","Project Grants - Presentation","$22,800.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","BATMAN"
"Handa, Raghav","","Dance  Section","Project Grants - Presentation","$11,940.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","WARRINGAH"
"Lane, Melanie","","Dance  Section","Project Grants - Presentation","$23,400.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","GELLIBRAND"
"Lloyd, Joanna","Jo Lloyd","Dance  Section","Project Grants - Presentation","$29,500.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Page, Kyle","","Dance  Section","Project Grants - Presentation","$50,000.00","15-OCT-2014","15-AUG-2014","QLD","AUSTRALIA","HERBERT"
"Powerhouse Youth Theatre Inc (t/a PYT | Fairfield)","PYT | Fairfield","Dance  Section","Project Grants - Presentation","$42,000.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","MCMAHON"
"Ratnamohan, Ahilan","","Dance  Section","Project Grants - Presentation","$44,896.00","15-OCT-2014","15-AUG-2014","NSW","AUSTRALIA","PARRAMATTA"
"Rebecca Jensen and Sarah Aiken","","Dance  Section","Project Grants - Presentation","$14,000.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","MELBOURNE"
"Yap, Tony","","Dance  Section","Project Grants - Presentation","$46,450.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","WILLS"
"Darbyshire, Tim","","Dance  Section","Residencies","$10,000.00","15-OCT-2014","15-AUG-2014","VIC","AUSTRALIA","BATMAN"
"Fieldworx","","Market Development Section","Sector Development Council Initiatives","$10,000.00","10-OCT-2014","30-JUN-2017","QLD","AUSTRALIA","BRISBANE"
"Croft, Brenda","","Aboriginal and Torres Strait Islander Arts Panel","Fellowships","$100,000.00","08-OCT-2014","31-JUL-2014","ACT","AUSTRALIA","FENNER"
"Rennie, Reko","","Aboriginal and Torres Strait Islander Arts Panel","Fellowships","$100,000.00","08-OCT-2014","31-JUL-2014","VIC","AUSTRALIA","MELBOURNE PORTS"
"Saltwater Freshwater Arts Alliance Aboriginal Corporation","","Aboriginal and Torres Strait Islander Arts Panel","INDIGENOUS ARTS WORKER'S PROGRAM GRANT","$112,500.00","08-OCT-2014","18-JUL-2014","NSW","AUSTRALIA","COWPER"
"Tandanya National Aboriginal Cultural Institute Inc.","","Aboriginal and Torres Strait Islander Arts Panel","INDIGENOUS ARTS WORKER'S PROGRAM GRANT","$112,500.00","08-OCT-2014","18-JUL-2014","SA","AUSTRALIA","ADELAIDE"
"Foley, Gary","","Aboriginal and Torres Strait Islander Arts Panel","The Red Ochre Award","$50,000.00","08-OCT-2014","31-JUL-2014","VIC","AUSTRALIA","MARIBYRNONG"
"Wallace, Kahl","Kahl Wallis","Aboriginal and Torres Strait Islander Arts Panel","Young and Emerging Dreaming Award","$20,000.00","08-OCT-2014","31-JUL-2014","SA","AUSTRALIA","BOOTHBY"
